Date,GRADE,GPS,GE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-07-21,44.43614420135733,P,75.83297729492188,76.55333099365234,77.79580383300781,79.2247413635254,80.3361424255371,77.942642288208,73.17908910751343
2003-07-22,44.620880640539305,P,76.531005859375,76.40815124511718,77.40491180419922,78.90007095336914,80.28283599853516,78.05884788513184,73.20394300460815
2003-07-23,45.005529039187884,P,76.55889892578125,76.43048400878907,77.13687362670899,78.66972503662109,80.22675888061524,78.16423629760742,73.23713014602662
2003-07-24,45.50749979645915,P,76.61473083496094,76.6203384399414,76.92746505737304,78.43100128173828,80.17901000976562,78.26602195739746,73.25297971725463
2003-07-25,46.41308534087366,P,79.37891387939453,76.98330535888672,77.01402206420899,78.40447654724122,80.22149688720702,78.38574043273925,73.28592779159546
2003-07-28,48.1263485185724,P,79.21141815185547,77.65899353027343,77.1061622619629,78.36120071411133,80.27727767944336,78.52320205688477,73.31121000289917
2003-07-29,49.0750528690048,P,77.89910888671875,77.93261413574218,77.17038269042969,78.25929069519043,80.29682586669922,78.65447509765625,73.3310231590271
2003-07-30,49.84965362697005,A,78.09455108642578,78.2397445678711,77.33511428833008,78.16994438171386,80.3274952697754,78.77522003173829,73.35413534164428
2003-07-31,50.97491233889031,A,79.40679931640625,78.79815826416015,77.70924835205078,78.15458526611329,80.377197265625,78.86997482299805,73.39609949111939
2003-08-01,50.844505222314126,A,79.46267700195312,78.81491088867188,77.8991081237793,78.14202003479004,80.43300994873047,78.95308280944825,73.43506547927856
2003-08-04,50.52250723980089,A,79.51850128173828,78.87632751464844,78.26766052246094,78.03173217773437,80.48993911743165,79.01955032348633,73.47417394638062
2003-08-05,50.094353690091936,A,77.6198959350586,78.8204849243164,78.3765495300293,77.89073066711425,80.47172515869141,79.06342567443848,73.50925207138062
2003-08-06,49.50496683463552,A,77.28488159179688,78.65855102539062,78.44914779663085,77.79301071166992,80.44903030395508,79.08786231994628,73.55221460342408
2003-08-07,48.77850911424415,P,78.40167236328125,78.45752563476563,78.62784194946289,77.77765350341797,80.44978042602538,79.12707290649413,73.5993955039978
2003-08-08,48.10444987091338,P,78.40167236328125,78.24532470703124,78.53011779785156,77.77206993103027,80.42556564331055,79.1343830871582,73.63633401870727
2003-08-11,47.68338048860165,P,78.96009063720703,78.133642578125,78.50498504638672,77.80557365417481,80.39587524414063,79.18250663757324,73.66923635482789
2003-08-12,48.11286643275081,A,79.09968566894531,78.42960052490234,78.62504272460937,77.89771270751953,80.3662028503418,79.22509132385254,73.70283666610717
2003-08-13,48.38782681197856,A,78.23417663574219,78.61945953369141,78.63900527954101,77.98705978393555,80.302021484375,79.26956199645996,73.73074388504028
2003-08-14,48.71201801920474,A,79.71398162841797,78.88192138671874,78.66972351074219,78.18948593139649,80.24413482666016,79.33326866149902,73.77274179458618
2003-08-15,49.521680354041344,A,80.35615539550781,79.27281799316407,78.75907135009766,78.32908973693847,80.17024261474609,79.41477043151855,73.83174367904662
2003-08-18,51.139642875637094,A,83.20406341552734,80.12161254882812,79.12762756347657,78.69764404296875,80.16218521118164,79.53945358276367,73.91713945388794
2003-08-19,52.449448903681,A,83.34368133544922,80.97041168212891,79.70000610351562,79.03827781677246,80.13195449829101,79.64805694580077,74.00814958572387
2003-08-20,53.599246619681225,A,82.22683715820312,81.7689437866211,80.19420166015625,79.32167472839356,80.05775039672852,79.71997100830077,74.09029790878296
2003-08-21,54.764896163101525,A,84.20915985107422,82.66797943115235,80.77495040893555,79.70139617919922,80.0181999206543,79.79783882141113,74.17675867080689
2003-08-22,55.4103382282764,A,83.42742156982422,83.28223266601563,81.27752532958985,79.9038215637207,79.98631546020508,79.86567008972168,74.26805089950561
2003-08-25,54.61818841293769,A,83.34368133544922,83.31015625,81.71588439941407,80.1104347229004,79.91447570800781,79.92905784606934,74.36247526168823
2003-08-26,53.834557995247955,A,83.42742156982422,83.326904296875,82.14865798950196,80.38685035705566,79.85207763671875,79.98496101379395,74.4532212638855
2003-08-27,53.52019700633224,A,83.06446838378906,83.49443054199219,82.63168716430664,80.63534622192383,79.80849609375,80.05831703186035,74.52986150741577
2003-08-28,52.41308474351512,A,82.8690414428711,83.22640686035156,82.94719314575195,80.80845832824707,79.80927368164062,80.12749946594238,74.57752882003784
2003-08-29,51.62395200645428,A,82.56190490722656,83.05330352783203,83.16776809692382,80.96341972351074,79.79558563232422,80.18612045288086,74.62912298202515
2003-09-01,51.01462327045519,A,82.56190490722656,82.8969482421875,83.10355224609376,81.11558990478515,79.7896646118164,80.24169044494629,74.67593740463256
2003-09-02,51.1818576365167,A,84.99098205566406,83.20966033935547,83.26828231811524,81.48414421081543,79.82899597167969,80.30657173156739,74.74104249954223
2003-09-03,52.036628785107006,A,86.88963317871094,83.97469329833984,83.73456192016602,81.96438179016113,79.94347229003907,80.40347732543945,74.80471578598022
2003-09-04,53.28386097318602,A,87.447998046875,84.89048461914062,84.05844573974609,82.41669807434081,80.06464813232422,80.48765823364258,74.87118089675903
2003-09-05,54.51141126797578,A,86.6662826538086,85.71136016845703,84.38233184814453,82.82992858886719,80.19978561401368,80.56402198791504,74.93414709091186
2003-09-08,56.235238642933695,A,87.6155776977539,86.7220947265625,84.809521484375,83.26270294189453,80.35055847167969,80.65903312683105,75.00076723098755
2003-09-09,56.65252037017873,A,87.00127410888672,87.12415313720703,85.16690673828126,83.6577823638916,80.49183776855469,80.7248770904541,75.07046140670776
2003-09-10,56.04988775066345,A,86.63832092285156,87.07389068603516,85.5242919921875,84.07798957824707,80.62697463989258,80.77599571228028,75.14148176193237
2003-09-11,55.855676204103474,A,87.894775390625,87.16324615478516,86.0268653869629,84.48702926635742,80.79059051513671,80.84772315979004,75.22861715316772
2003-09-12,55.8518534511363,A,88.03435516357422,87.43686065673828,86.57411041259766,84.87093925476074,80.95699798583985,80.92056938171386,75.313036403656
