Date,GRADE,GPS,AES,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-08-22,61.71500673290479,A,14.284841537475586,14.065496826171875,14.0154598236084,13.782062816619874,13.206076431274415,12.590676832199097,12.01170904636383
2006-08-23,61.842507291304265,A,14.236861228942873,14.110736846923828,14.026427268981934,13.806053638458252,13.245832710266113,12.61651840209961,12.030353374481201
2006-08-24,62.06887300005504,A,14.1066255569458,14.16557331085205,14.033967304229737,13.83141541481018,13.287096996307373,12.642154350280762,12.046461515426635
2006-08-25,61.984078188929026,A,14.188884735107422,14.194363784790038,14.06686954498291,13.859519386291504,13.330966091156006,12.671423244476319,12.0625696849823
2006-08-28,62.172937420662784,A,14.332825660705566,14.230007743835449,14.117592811584473,13.895505952835084,13.385802364349365,12.699389791488647,12.079740295410156
2006-08-29,62.19567760075881,A,14.25742530822754,14.22452449798584,14.145010662078857,13.927722501754761,13.434880809783936,12.72776756286621,12.09715081691742
2006-08-30,62.3728123640548,A,14.401372909545898,14.257426834106445,14.184081840515137,13.970906019210815,13.482451286315918,12.759366979599,12.1150754404068
2006-08-31,62.751230350511406,A,14.559020042419434,14.347905731201172,14.256739521026612,14.020943880081177,13.533586082458497,12.790966329574585,12.133788299560546
2006-09-01,63.1497032993148,A,14.517894744873049,14.413707733154297,14.304035758972168,14.121362686157227,13.587462635040284,12.822154426574707,12.15246687412262
2006-09-04,63.14563288870812,A,14.517894744873049,14.450721549987794,14.34036464691162,14.159405183792114,13.638049068450927,12.852382888793946,12.171419615745544
2006-09-05,63.18350224225342,A,14.50418758392334,14.500074005126953,14.362299251556397,14.188879537582398,13.681780986785888,12.881651735305786,12.189789762496948
2006-09-06,62.814310804430214,A,14.230005264282228,14.465800476074218,14.361613655090332,14.194020462036132,13.718795413970946,12.910166540145873,12.206891803741454
2006-09-07,62.09943599408359,A,14.092918395996094,14.37258014678955,14.360242938995361,14.197105121612548,13.746624851226807,12.936487979888916,12.222897148132324
2006-09-08,61.28345281959159,A,14.017516136169434,14.272504425048828,14.343106079101563,14.204987812042237,13.774042949676513,12.962877893447876,12.239999194145202
2006-09-11,60.59196322159044,P,13.900991439819336,14.149123764038086,14.299922657012939,14.208757734298706,13.797074241638184,12.98741714477539,12.25555899143219
2006-09-12,59.90366384229981,P,13.79817008972168,14.007920265197754,14.253997135162354,14.199503898620605,13.8180491065979,13.01168218612671,12.270570406913757
2006-09-13,59.71543623405366,P,14.031225204467772,13.968164253234864,14.216982364654541,14.20053210258484,13.840120639801025,13.039511594772339,12.286644291877746
2006-09-14,59.71760347642041,P,14.058645248413086,13.961309623718261,14.166944885253907,14.21184220314026,13.860958499908447,13.066107196807861,12.302752442359925
2006-09-15,59.544381700912034,P,13.900991439819336,13.938004684448241,14.105254554748536,14.204645156860352,13.874804744720459,13.088795728683472,12.317181248664856
2006-09-18,59.59845513835245,P,13.990100860595703,13.955826568603516,14.0524751663208,14.19641990661621,13.887828426361084,13.113472061157227,12.331849961280822
2006-09-19,59.8045625877263,P,14.072348594665527,14.010662269592284,14.00929126739502,14.185795259475707,13.900303649902344,13.13979338645935,12.34634726524353
2006-09-20,59.810995373756136,P,14.051787376403809,14.014774703979493,13.991469478607177,14.176541566848755,13.917302875518798,13.16659460067749,12.360913143157958
2006-09-21,59.768562804145155,P,13.96268081665039,13.995581817626952,13.978445720672607,14.169344329833985,13.933753776550294,13.192504749298095,12.375890293121337
