Date,GRADE,GPS,ANSS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-08-07,54.50511909572101,B,1.8125,1.875,1.946875,2.0,2.0353125,1.88046875,2.255625
1997-08-08,54.49780832516657,B,1.9375,1.8625,1.940625,1.99375,2.0309375,1.87984375,2.2503125
1997-08-11,54.509228116588595,B,1.984375,1.871875,1.9328125,1.99453125,2.02625,1.88,2.245078125
1997-08-12,54.53624100557681,B,2.03125,1.909375,1.9359375,1.99453125,2.021875,1.8809375,2.239765625
1997-08-13,54.57355779316989,B,2.09375,1.971875,1.9421875,1.99453125,2.018125,1.881875,2.234609375
1997-08-14,54.62496311108984,C,2.21875,2.053125,1.9640625,2.00078125,2.02,1.8834375,2.230078125
1997-08-15,54.66068476664475,C,2.25,2.115625,1.9890625,2.01171875,2.020625,1.8853125,2.225859375
1997-08-18,54.68527963421334,C,2.21875,2.1625,2.0171875,2.01796875,2.02125,1.8871875,2.221328125
1997-08-19,54.71444199817464,A,2.28125,2.2125,2.0609375,2.02734375,2.023125,1.8921875,2.217578125
1997-08-20,54.75476272976433,A,2.40625,2.275,2.1234375,2.04609375,2.028125,1.8990625,2.214375
1997-08-21,54.77215490180325,A,2.375,2.30625,2.1796875,2.06328125,2.034375,1.905,2.21125
1997-08-22,54.79976229739396,A,2.5,2.35625,2.2359375,2.08828125,2.04125,1.9125,2.20875
1997-08-25,54.83780357842851,A,2.5625,2.425,2.29375,2.11328125,2.049375,1.9209375,2.2065625
1997-08-26,54.871044801827104,A,2.625,2.49375,2.353125,2.14453125,2.0603125,1.9296875,2.205
1997-08-27,54.898420482991355,A,2.75,2.5625,2.41875,2.18046875,2.0759375,1.94,2.20390625
1997-08-28,54.92927458883281,A,2.734375,2.634375,2.4703125,2.2171875,2.09,1.95015625,2.203203125
1997-08-29,54.94824860660905,A,2.75,2.684375,2.5203125,2.2546875,2.104375,1.96109375,2.202578125
1997-09-01,54.9652130068423,A,2.75,2.721875,2.5734375,2.2953125,2.121875,1.97265625,2.202109375
1997-09-02,54.97664679549367,A,2.75,2.746875,2.6203125,2.340625,2.143125,1.98390625,2.201640625
1997-09-03,54.96567231170851,A,2.71875,2.740625,2.6515625,2.3875,2.16125,1.99484375,2.200703125
1997-09-04,54.951098410374875,A,2.65625,2.725,2.6796875,2.4296875,2.17625,2.00640625,2.199453125
1997-09-05,54.921014103803174,A,2.5625,2.6875,2.6859375,2.4609375,2.18875,2.01703125,2.197734375
