Date,GRADE,GPS,DGX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-11-20,55.47200771776716,C,132.01101684570312,131.94248962402344,130.89110412597657,129.0359992980957,124.06967391967774,127.94369644165039,130.79494449615478
2023-11-21,55.568685828232134,C,131.4921875,132.0482208251953,131.03207244873047,129.5616943359375,124.22291717529296,127.91122116088867,130.75583721160888
2023-11-22,55.379795454208995,C,132.89207458496094,132.1069580078125,131.2552719116211,130.06487350463868,124.3866390991211,127.90194381713867,130.71394969940187
2023-11-23,54.91172734335,C,132.89207458496094,132.26750793457032,131.65762023925782,130.2846481323242,124.56554428100586,127.88036895751954,130.67186946868895
2023-11-24,54.76900333264232,C,132.6864776611328,132.39476623535157,131.92389221191405,130.66937370300292,124.76233367919922,127.8612890625,130.62124591827393
2023-11-27,54.2737691900003,C,132.46133422851562,132.48482971191407,132.21365966796876,130.958162689209,124.96299041748047,127.82565063476562,130.5694966506958
2023-11-28,54.32586335255152,C,132.86270141601562,132.7589324951172,132.40357666015626,131.23324661254884,125.1759568786621,127.78886764526368,130.54210758209229
2023-11-29,53.731090925275915,C,132.4221649169922,132.66495056152343,132.38595428466797,131.36736145019532,125.39101333618164,127.74125564575195,130.51155223846436
2023-11-30,54.16586162177635,C,134.34091186523438,132.95471801757813,132.61111297607422,131.6561508178711,125.67344833374024,127.7144857788086,130.49704624176024
2023-12-01,54.17900731738294,C,133.30322265625,133.07806701660155,132.73641662597657,131.7667709350586,125.93590805053711,127.68064804077149,130.48915477752686
2023-12-04,54.87656235182541,C,134.59544372558594,133.50488891601563,132.99485931396484,131.9429817199707,126.2082504272461,127.66489074707032,130.4941318130493
2023-12-05,54.504741173372935,C,132.05018615722656,133.3423858642578,133.0506591796875,132.04136581420897,126.42423751831055,127.61930114746093,130.4878277206421
2023-12-06,54.51359689130373,C,132.07952880859375,133.27385864257812,132.9694046020508,132.11233825683593,126.66378067016602,127.54733703613282,130.47858715057373
2023-12-07,53.603680401407864,C,132.37322998046875,132.880322265625,132.91752014160156,132.28757019042968,126.91017105102539,127.47344360351562,130.4673946762085
2023-12-08,53.340437360488416,C,133.0487060546875,132.8294189453125,132.95374298095703,132.43881759643554,127.19907470703124,127.39881103515626,130.45432857513427
2023-12-11,52.89841587407643,C,134.05702209472656,132.72173461914062,133.11331176757812,132.66348571777343,127.52663696289062,127.33766769409179,130.44856815338136
2023-12-12,54.3494524804344,C,136.4750213623047,133.60670166015626,133.47454376220702,132.93906021118164,127.90022338867188,127.2919450378418,130.46747158050536
2023-12-13,56.81405489602226,A,138.1490020751953,134.82059631347656,134.04722747802734,133.21659088134766,128.27711776733398,127.34744247436524,130.49951419830322
2023-12-14,57.993152170543,A,134.37026977539062,135.22000427246093,134.05016326904297,133.33063812255858,128.5565090942383,127.3834504699707,130.5215273666382
2023-12-15,58.09715371817392,A,132.18722534179688,135.0477081298828,133.93856353759764,133.3374900817871,128.76717849731446,127.39636260986327,130.53541957855225
2023-12-18,57.94563845658276,A,132.96060180664062,134.82842407226562,133.77507934570312,133.38496932983398,128.98235122680663,127.41000091552735,130.55920055389404
2023-12-19,56.95340375807331,A,133.57733154296875,134.24888610839844,133.92779388427735,133.4892265319824,129.23061233520508,127.43574340820312,130.58201847076415
2023-12-20,54.36620211542252,P,131.93270874023438,133.00562744140626,133.9131118774414,133.4412582397461,129.4663429260254,127.44348266601563,130.60167171478273
