Date,GRADE,GPS,BKNG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2021-04-08,68.4292428333402,A,2410.640380859375,2393.229541015625,2360.446533203125,2334.5206298828125,2256.100380859375,2176.6748181152343,1969.460166015625
2021-04-09,68.98342444511427,A,2432.552734375,2406.652978515625,2373.009130859375,2336.9541137695314,2266.1427099609373,2181.2150415039064,1973.3326953125
2021-04-12,68.19637415714077,A,2391.835693359375,2406.627197265625,2378.7368896484377,2335.4425048828125,2274.4546875,2185.0793298339845,1976.833946533203
2021-04-13,66.7742243087404,A,2387.109619140625,2403.110498046875,2385.627294921875,2335.8262451171877,2281.181474609375,2188.066231689453,1980.5414630126952
2021-04-14,66.14056634880983,A,2436.682861328125,2411.7642578125,2397.976416015625,2335.4509399414064,2289.6588623046873,2191.9425354003906,1984.4777325439454
2021-04-15,65.51433062241533,A,2415.822998046875,2412.80078125,2403.0151611328124,2339.733117675781,2296.6142041015623,2195.6102404785156,1988.2651245117188
2021-04-16,65.31556013573254,A,2459.20068359375,2418.13037109375,2412.3916748046877,2349.1235229492186,2304.169423828125,2199.822225341797,1992.0851306152344
2021-04-19,66.26661194589012,A,2438.648681640625,2427.49296875,2417.0600830078124,2360.25888671875,2311.2512548828126,2204.069158935547,1995.9048388671874
2021-04-20,65.64977115617553,A,2328.243408203125,2415.7197265625,2409.4151123046877,2366.712438964844,2316.4085400390627,2206.971571044922,1999.1255096435548
2021-04-21,63.9604774817444,A,2340.882080078125,2396.5595703125,2404.1619140625,2374.4070556640627,2320.6970703125,2209.744708251953,2001.8975079345703
2021-04-22,62.34181747103929,P,2330.27880859375,2379.450732421875,2396.1257568359374,2378.2861450195314,2324.42603515625,2212.2310144042967,2004.8773620605468
2021-04-23,60.357826931007715,P,2378.31298828125,2363.273193359375,2390.7017822265625,2381.8554565429686,2329.2880419921876,2214.915692138672,2008.1698657226561
2021-04-26,59.52103862709604,P,2440.68408203125,2363.6802734375,2395.58662109375,2387.161755371094,2335.397470703125,2218.186846923828,2011.8662622070312
2021-04-27,61.11182788865,P,2446.541748046875,2387.33994140625,2401.529833984375,2393.578564453125,2340.957255859375,2221.9348718261717,2015.601577758789
2021-04-28,63.26917099701171,A,2487.199462890625,2416.60341796875,2406.581494140625,2402.278955078125,2346.345078125,2225.886331787109,2019.4963470458983
2021-04-29,65.62866178125684,A,2483.555419921875,2447.258740234375,2413.354736328125,2408.184948730469,2351.14333984375,2229.823592529297,2023.4973999023437
2021-04-30,66.71363467242016,A,2448.458251953125,2461.28779296875,2412.2804931640626,2412.336083984375,2354.5792138671877,2233.5653649902342,2027.2939758300781
2021-05-03,65.88991394347114,A,2423.001220703125,2457.751220703125,2410.7157470703123,2413.8879150390626,2356.3746875,2237.2829064941407,2030.9556713867187
2021-05-04,63.72907065956127,A,2365.912109375,2441.62529296875,2414.4826171875,2411.948864746094,2356.84271484375,2240.111448974609,2034.4365686035155
2021-05-05,60.17520268891033,A,2321.2138671875,2408.428173828125,2412.5157958984373,2408.3388549804686,2354.7461962890625,2242.486456298828,2037.5659454345703
2021-05-06,56.109474664575714,P,2263.062744140625,2364.329638671875,2405.794189453125,2400.9599731445314,2354.8683203125,2244.1338024902343,2040.5028594970704
2021-05-07,53.653952358713944,P,2310.45166015625,2336.7283203125,2399.008056640625,2394.8549194335938,2354.839931640625,2246.391856689453,2043.803853149414
2021-05-10,51.077106208068265,P,2246.9287109375,2301.513818359375,2379.63251953125,2387.6095703125,2353.7001318359376,2248.326932373047,2046.8462579345703
2021-05-11,49.23239569480484,P,2231.61865234375,2274.655126953125,2358.1402099609377,2379.8350219726562,2353.014462890625,2250.2616052246094,2049.6885510253906
2021-05-12,47.07805605616403,P,2156.727783203125,2241.75791015625,2325.0930419921874,2365.837268066406,2350.9741455078124,2250.9705017089846,2051.9099627685546
2021-05-13,46.49614011301762,P,2191.49755859375,2227.444873046875,2295.887255859375,2354.62099609375,2350.734267578125,2252.1512048339846,2054.1710888671873
2021-05-14,46.04423021704898,P,2266.169921875,2218.588525390625,2277.6584228515626,2344.9694580078126,2350.245380859375,2254.0786315917967,2056.792223510742
2021-05-17,45.740372577184445,P,2207.263916015625,2210.65556640625,2256.0846923828126,2333.4002197265627,2347.3543798828123,2254.9248425292967,2059.0488317871095
2021-05-18,45.601498943996,P,2195.81640625,2203.4951171875,2239.0751220703123,2326.7788696289062,2344.273154296875,2255.185167236328,2061.0669067382814
2021-05-19,48.180584886565335,P,2253.789306640625,2222.907421875,2232.332666015625,2322.4242309570313,2342.30115234375,2255.828040771484,2063.3601025390626
2021-05-20,50.409367013122164,P,2289.57177734375,2242.522265625,2234.9835693359373,2320.388879394531,2341.188955078125,2256.610211181641,2065.9071716308595
2021-05-21,50.975900192375384,P,2276.9921875,2244.68671875,2231.6376220703123,2315.3228393554687,2339.0511376953127,2257.2665856933595,2068.461339111328
2021-05-24,53.52016817047664,P,2331.698486328125,2269.5736328125,2240.114599609375,2309.8735595703124,2337.24375,2259.0974084472655,2071.4178607177732
2021-05-25,55.75495637614378,A,2322.29638671875,2294.86962890625,2249.182373046875,2303.6612915039063,2336.1009814453123,2260.5960241699217,2074.198349609375
2021-05-26,56.441714811156885,A,2330.22900390625,2310.157568359375,2266.5324951171874,2295.8127685546874,2333.8217822265624,2261.5609777832033,2077.0752935791015
2021-05-27,56.283030021613165,A,2318.096435546875,2315.8625,2279.1923828125,2287.5398193359374,2333.5801220703124,2262.5034948730467,2079.8855187988283
2021-05-28,57.347866904067054,A,2344.67529296875,2329.39912109375,2287.042919921875,2282.3506713867187,2335.0457763671875,2263.297879638672,2082.7756188964845
2021-05-31,57.303694869650734,A,2344.67529296875,2331.994482421875,2300.7840576171875,2278.434375,2337.6204541015627,2264.6906579589845,2085.3923370361326
2021-06-01,57.09697662749176,A,2311.642822265625,2329.86376953125,2312.36669921875,2275.720910644531,2339.86986328125,2266.000626220703,2087.7477838134764
2021-06-02,56.89449323982307,A,2301.35693359375,2324.08935546875,2317.1234619140623,2274.728063964844,2342.15720703125,2267.3459436035155,2089.9864221191406
2021-06-03,56.51905511006922,A,2279.40478515625,2316.351025390625,2316.1067626953127,2275.545166015625,2342.6913623046876,2268.4700524902346,2091.9835974121092
