Date,GRADE,GPS,PLTR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2024-04-19,38.61451068763498,P,20.46999931335449,21.33799934387207,22.04299964904785,22.70399980545044,23.767199935913087,20.69119997024536,18.744899983406068
2024-04-22,37.16516674425264,P,20.96999931335449,21.151999282836915,21.8399995803833,22.526999759674073,23.685599937438965,20.716899967193605,18.762749981880187
2024-04-23,36.818584755100225,P,21.63999938964844,21.10399932861328,21.722999572753906,22.36449975967407,23.638199920654298,20.75029996871948,18.7805499792099
2024-04-24,37.27440142569434,P,21.59000015258789,21.159999465942384,21.6399995803833,22.218499755859376,23.566199913024903,20.794899978637694,18.798249983787535
2024-04-25,38.30294176269329,P,21.709999084472656,21.275999450683592,21.526999473571777,22.153499698638917,23.492199897766113,20.83979997634888,18.821149983406066
2024-04-26,40.6756181057452,P,22.520000457763672,21.68599967956543,21.51199951171875,22.128999710083008,23.453799896240234,20.887299976348878,18.851599984169006
2024-04-29,42.81536770926295,P,22.82999992370605,22.05799980163574,21.604999542236328,22.127499675750734,23.421599884033203,20.9378999710083,18.884149985313414
2024-04-30,43.75866135039623,P,21.96999931335449,22.123999786376952,21.613999557495116,22.089999675750732,23.392999877929686,20.982599964141844,18.911249985694884
2024-05-01,44.792722034107875,A,22.1200008392334,22.229999923706053,21.69499969482422,22.06099967956543,23.380599899291994,21.025099964141845,18.939699988365174
2024-05-02,45.80497525027071,A,22.549999237060547,22.397999954223632,21.836999702453614,22.06449966430664,23.359799880981445,21.068499965667726,18.971699986457825
2024-05-03,46.36114986752168,A,23.32999992370605,22.559999847412108,22.12299976348877,22.08299970626831,23.366999893188478,21.11979995727539,18.999299988746642
2024-05-06,47.71913653397215,A,25.209999084472656,23.03599967956543,22.546999740600587,22.193499660491945,23.399999885559083,21.193499946594237,19.026149983406068
2024-05-07,46.845482592303505,A,21.399999618530277,22.921999740600587,22.52299976348877,22.122999668121338,23.337399864196776,21.227999935150148,19.033199982643126
2024-05-08,46.00526469458396,A,21.559999465942383,22.809999465942383,22.519999694824218,22.07999963760376,23.280199851989746,21.27109992980957,19.046149983406067
2024-05-09,44.365491130446685,A,21.13999938964844,22.527999496459962,22.462999725341795,21.994999599456786,23.201399841308593,21.306599922180176,19.058299984931946
