Date,GRADE,GPS,IQV,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-01-22,63.18116125427603,A,124.86000061035156,125.61399993896484,124.07699966430664,119.33799934387207,118.57399963378906,122.00200004577637,115.19299976348877
2019-01-23,63.2129365634129,A,126.12999725341795,125.89199981689453,124.4739990234375,120.08499908447266,118.74839950561524,122.00380004882813,115.32739974975586
2019-01-24,62.83199753714132,A,125.11000061035156,126.09600067138672,124.6489990234375,120.72149925231933,118.8679995727539,121.98610008239746,115.4625997543335
2019-01-25,61.921465542027214,A,125.9800033569336,125.85400085449218,124.96599960327148,121.32499923706055,118.99979965209961,121.97570014953614,115.60614978790284
2019-01-28,60.67246716033759,A,124.69000244140624,125.35400085449218,125.28600006103515,121.7509994506836,119.18479965209961,121.94340019226074,115.73954978942871
2019-01-29,60.3041461552123,A,124.88999938964844,125.36000061035156,125.4870002746582,122.18699951171875,119.36559967041016,121.94240020751953,115.8802997970581
2019-01-30,60.397489628194684,A,127.55999755859376,125.64600067138672,125.76900024414063,122.84949951171875,119.59259963989258,121.96650016784668,116.03564979553222
2019-01-31,61.27914386913818,A,129.00999450683594,126.42599945068359,126.26100006103516,123.80199928283692,119.84859954833985,121.99150009155274,116.1981997680664
2019-02-01,61.93135754402891,A,129.55999755859375,127.14199829101562,126.49799957275391,124.5264991760254,120.08519943237305,122.02120010375977,116.36374977111817
2019-02-04,62.691630175004946,A,129.02000427246094,128.00799865722655,126.68099975585938,125.11749954223633,120.27399948120117,122.06070014953613,116.53004978179932
2019-02-05,63.42192292799816,A,130.08999633789062,129.047998046875,127.20399932861328,125.64049949645997,120.4743994140625,122.10610008239746,116.69054977416992
2019-02-06,63.454975026211166,A,130.66000366210938,129.66799926757812,127.65699996948243,126.06549949645996,120.60399948120117,122.16040008544923,116.85929977416993
2019-02-07,62.63781836563367,A,129.64999389648438,129.7959991455078,128.1109992980957,126.3799991607666,120.69799942016601,122.1852000427246,117.02104972839355
2019-02-08,61.81870251515647,A,128.80999755859375,129.6459991455078,128.3939987182617,126.6799991607666,120.7727993774414,122.1975,117.16999973297119
2019-02-11,61.21322481459382,A,129.10000610351562,129.66199951171876,128.83499908447266,127.06049957275391,120.80719955444336,122.20290008544922,117.32464977264404
2019-02-12,60.917813232115144,A,131.66000366210938,129.9760009765625,129.51199951171876,127.49949989318847,120.97739959716797,122.22130004882813,117.49169979095458
2019-02-13,60.694561202311945,A,131.82000732421875,130.20800170898437,129.93800048828126,127.85350036621094,121.15079971313476,122.2402001953125,117.65384983062744
2019-02-14,62.750602039225846,A,141.1300048828125,132.50400390625,131.1500015258789,128.70550079345702,121.5363998413086,122.34380020141602,117.85484985351563
2019-02-15,65.25749433166976,A,141.85000610351562,135.11200561523438,132.3790023803711,129.4385009765625,122.01379989624023,122.46490020751953,118.04899990081788
2019-02-18,67.61136949197277,A,141.85000610351562,137.66200561523436,133.66200256347656,130.17150115966797,122.4683999633789,122.5827001953125,118.24379993438721
2019-02-19,69.20216199309935,A,141.49000549316406,139.6280059814453,134.8020034790039,131.00300140380858,122.86820007324219,122.69560028076172,118.44074996948243
2019-02-20,70.88439509831609,A,141.19000244140625,141.50200500488282,135.8550033569336,131.756001663208,123.2452001953125,122.80400024414062,118.65104999542237
2019-02-21,70.39703742786801,A,142.02000427246094,141.6800048828125,137.09200439453124,132.60150184631348,123.65560028076172,122.95420028686523,118.8720000076294
2019-02-22,69.79604153168887,A,142.4600067138672,141.8020050048828,138.4570053100586,133.42550201416014,124.14440048217773,123.10090034484864,119.07615005493165
2019-02-25,69.18986422684235,A,141.77000427246094,141.78600463867187,139.72400512695313,134.27950210571288,124.66660049438477,123.25420036315919,119.27395008087159
2019-02-26,68.58031819585727,A,140.99000549316406,141.68600463867188,140.6570053100586,135.08450241088866,125.17720062255859,123.39030044555665,119.46575012207032
2019-02-27,68.29505053271923,A,141.63999938964844,141.7760040283203,141.63900451660157,135.78850250244142,125.73420059204102,123.57860046386719,119.66175010681152
2019-02-28,67.5457694860328,A,140.10000610351562,141.39200439453126,141.53600463867187,136.3430030822754,126.33220077514649,123.7538005065918,119.85345012664794
2019-03-01,67.34741333347077,A,143.35000610351562,141.57000427246095,141.68600463867188,137.0325035095215,127.03480087280273,123.93940055847168,120.06770015716553
2019-03-04,66.94242368037226,A,141.49000549316406,141.51400451660157,141.6500045776367,137.65600357055663,127.75060104370117,124.11170059204102,120.27265018463135
2019-03-05,66.75852575030528,A,141.49000549316406,141.61400451660157,141.6500045776367,138.22600402832032,128.4664012145996,124.23050064086914,120.48420021057129
2019-03-06,65.67868879298449,P,139.19000244140625,141.12400512695314,141.45000457763672,138.65250396728516,129.02640121459962,124.32860061645508,120.67775020599365
2019-03-07,65.1498187889928,P,137.85000610351562,140.67400512695312,141.0330047607422,139.06250457763673,129.53580139160155,124.42290069580078,120.87235023498535
2019-03-08,63.676262743497055,P,137.42999267578125,139.49000244140626,140.5300033569336,139.4935043334961,130.006201171875,124.52830062866211,121.05705020904541
