Date,GRADE,GPS,BIIB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-03-24,41.68089320109187,B,276.19000244140625,282.1699951171875,286.622998046875,301.1370025634766,305.44480285644534,300.043701171875,269.1627508544922
2020-03-25,41.32221432143543,B,284.9800109863281,279.42999877929685,285.6959991455078,299.0135025024414,305.28260314941406,300.0035012817383,269.4182009124756
2020-03-26,43.714890050570716,B,304.94000244140625,282.8140014648437,289.3019989013672,298.7565032958984,305.6586029052734,300.1842013549805,269.7680509185791
2020-03-27,46.246514414516604,B,296.75,286.4100036621094,288.45599975585935,298.17450256347655,305.88360290527345,300.21920135498044,270.05635093688966
2020-03-30,50.425926717858154,A,316.1300048828125,295.7980041503906,291.8970001220703,297.5865020751953,306.4962030029297,300.43910125732424,270.45745094299315
2020-03-31,54.27358145534121,A,316.3800048828125,303.83600463867185,293.0029998779297,297.6165023803711,307.0800030517578,300.6889013671875,270.83790100097656
2020-04-01,55.16811605554443,A,293.2699890136719,305.49400024414064,292.4619995117188,295.8575012207031,307.18340270996094,300.80270111083985,271.1139009094238
2020-04-02,54.615597217614095,A,304.4700012207031,305.4,294.10700073242185,295.19600067138674,307.58860290527343,301.09590118408204,271.437400894165
2020-04-03,55.183533325400475,A,300.510009765625,306.152001953125,296.2810028076172,294.3240005493164,308.0360028076172,301.2783013916016,271.77060096740723
2020-04-06,54.96256126490773,A,311.3900146484375,305.20400390625,300.5010040283203,295.034001159668,308.6410028076172,301.56600158691407,272.1501010131836
2020-04-07,53.92738728096405,P,301.2099914550781,302.1700012207031,303.0030029296875,294.81300048828126,309.0262023925781,301.723801574707,272.47430099487303
2020-04-08,56.42491898724446,A,316.95001220703125,306.906005859375,306.2000030517578,295.9480010986328,309.7148028564453,302.0393017578125,272.8677010345459
2020-04-09,58.163740494506364,A,321.04998779296875,310.2220031738281,307.8110015869141,298.55650024414064,310.58520263671875,302.3652017211914,273.28160095214844
2020-04-10,59.58176937300953,A,321.04998779296875,314.3299987792969,310.2410003662109,299.34850006103517,311.6292022705078,302.58490173339845,273.7156008911133
2020-04-13,60.02321917622657,A,322.94000244140625,316.63999633789064,310.9220001220703,301.4095001220703,312.6334020996094,302.7882019042969,274.17610092163085
2020-04-14,62.036580659392236,A,333.760009765625,323.15,312.6600006103516,302.8315002441406,313.64280212402343,303.09590209960936,274.67380096435545
2020-04-15,61.45406267855848,A,326.94000244140625,325.147998046875,316.027001953125,304.2445007324219,313.5242022705078,303.3318020629883,275.1463510131836
2020-04-16,61.38648468762225,A,338.3399963378906,328.6059997558594,319.41400146484375,306.7605010986328,313.54620239257815,303.681701965332,275.6800509643555
2020-04-17,62.20727196324746,A,342.54998779296875,332.9059997558594,323.6179992675781,309.94950103759766,313.6232019042969,304.1091018676758,276.2357009124756
2020-04-20,62.808379774497695,A,339.4100036621094,336.2,326.4199981689453,313.4605010986328,313.63280212402344,304.5793017578125,276.7646509552002
2020-04-21,62.12307724855958,A,329.010009765625,335.25,329.2,316.10150146484375,313.5672021484375,304.96240173339845,277.2519509887695
2020-04-22,59.74665196884879,A,298.010009765625,329.46400146484376,327.3059997558594,316.7530014038086,312.8922021484375,305.047301940918,277.5948010253906
2020-04-23,55.419037541335605,A,292.25,320.2460021972656,324.4260009765625,316.1185012817383,312.0522021484375,304.9759017944336,277.8949010467529
2020-04-24,51.05267766414829,P,297.79998779296875,311.29600219726564,322.1010009765625,316.1710006713867,311.3482019042969,304.95130157470703,278.2275509643555
2020-04-27,47.125740068175105,P,303.239990234375,304.06199951171874,320.13099975585936,315.52649993896483,310.75300170898436,305.0282015991211,278.58135093688963
2020-04-28,43.96876956402999,P,305.2200012207031,299.3039978027344,317.27699890136716,314.9684997558594,310.11540161132814,305.1084014892578,278.8880509185791
2020-04-29,44.38233795598227,P,304.7099914550781,300.643994140625,315.0539978027344,315.5404998779297,309.38880126953126,305.2332012939453,279.20540084838865
2020-04-30,45.15176113988375,P,296.8299865722656,301.55999145507815,310.9029968261719,315.1584991455078,308.5926007080078,305.2630010986328,279.4985007476807
2020-05-01,44.98545651493324,P,293.0899963378906,300.6179931640625,305.9569976806641,314.7874984741211,307.72020080566404,305.22560119628906,279.7729006958008
2020-05-04,44.78560797411868,P,296.5199890136719,299.27399291992185,301.6679962158203,314.0439971923828,307.1310003662109,305.17680114746094,280.0699506378174
2020-05-05,45.56368532214379,P,304.44000244140625,299.1179931640625,299.21099548339845,314.2054977416992,306.7376007080078,305.2501013183594,280.38460067749025
2020-05-06,45.86685985055109,P,306.7799987792969,299.53199462890626,300.08799438476564,313.6969970703125,306.32420043945314,305.3518014526367,280.7294006347656
2020-05-07,47.86145109244691,P,314.010009765625,302.96799926757814,302.2639953613281,313.3449981689453,306.4028009033203,305.5161016845703,281.08415069580076
2020-05-08,50.23733791804034,P,314.0199890136719,307.15399780273435,303.88599548339846,312.99349822998045,306.515400390625,305.64580169677737,281.4429006195068
2020-05-11,53.18961345067587,A,328.010009765625,313.452001953125,306.3629974365234,313.2469985961914,306.51780029296873,305.91030181884764,281.90690063476563
2020-05-12,54.327653469161056,A,319.7699890136719,316.51799926757815,307.8179962158203,312.54749755859376,306.59760009765625,306.0673016357422,282.30490058898926
2020-05-13,54.59941700971141,A,314.9599914550781,318.15399780273435,308.84299621582034,311.94849700927733,306.3277996826172,306.17620147705077,282.6918005371094
2020-05-14,54.062522278928306,A,315.82000732421875,318.5159973144531,310.74199829101565,310.82249755859374,306.29019958496093,306.3165014648437,283.0797505950928
2020-05-15,53.65948940678627,A,316.6000061035156,319.03200073242186,313.09299926757814,309.5249984741211,306.2631994628906,306.4816015625,283.48375061035154
