Date,GRADE,GPS,CRL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-12-17,61.521398129866725,A,52.16999816894531,52.40400009155273,52.42700004577637,52.20750007629395,50.21059989929199,48.532199974060056,45.90400007247925
2013-12-18,61.59031901546674,A,52.77999877929688,52.529999542236325,52.52799987792969,52.27100009918213,50.37279991149902,48.604599952697754,45.938950061798096
2013-12-19,61.53984896439379,A,52.290000915527344,52.51599960327148,52.55099983215332,52.30750007629395,50.50539993286133,48.66479995727539,45.97200006484985
2013-12-20,61.54288983673887,A,52.75,52.55799942016601,52.53400001525879,52.33950004577637,50.64479995727539,48.73199996948242,46.01250005722046
2013-12-23,61.461262209278665,A,52.95000076293945,52.587999725341795,52.54099998474121,52.36450004577637,50.77799995422363,48.78479999542236,46.05635005950928
2013-12-24,61.51942775573068,A,53.18999862670898,52.79199981689453,52.59799995422363,52.410000038146975,50.923399963378905,48.844299964904785,46.10100006103516
2013-12-25,61.47088161261672,A,53.18999862670898,52.873999786376956,52.70199966430664,52.46749992370606,51.05139991760254,48.900299949646,46.143150062561034
2013-12-26,61.54405072645673,A,53.25,53.065999603271486,52.79099960327149,52.52799987792969,51.161799926757816,48.9582999420166,46.18640007019043
2013-12-27,61.5795674742252,A,53.33000183105469,53.18199996948242,52.869999694824216,52.58600006103516,51.27639999389648,49.015499954223635,46.22885007858277
2013-12-30,61.61835023353697,A,53.36000061035156,53.263999938964844,52.92599983215332,52.65050010681152,51.387399978637696,49.07189994812012,46.27510007858277
2013-12-31,61.54659525836531,A,53.040000915527344,53.23400039672852,53.013000106811525,52.72000007629394,51.49180000305176,49.12479995727539,46.31610008239746
2014-01-01,61.46872084652995,A,53.040000915527344,53.204000854492186,53.03900032043457,52.78350009918213,51.58560005187988,49.17829998016357,46.360650081634525
2014-01-02,61.3648095241111,A,52.880001068115234,53.130001068115234,53.09800033569336,52.82450008392334,51.65880004882813,49.24059997558594,46.40370008468628
2014-01-03,61.31100852254874,A,53.459999084472656,53.15600051879883,53.169000244140626,52.85150012969971,51.73940002441406,49.305599975585935,46.449650077819825
2014-01-06,61.202562192097496,A,52.97999954223633,53.08000030517578,53.172000122070315,52.85650005340576,51.8166000366211,49.36509998321533,46.497150077819825
2014-01-07,61.59308875654518,A,56.29999923706055,53.73199996948242,53.48300018310547,53.04050006866455,51.96279998779297,49.45359996795654,46.55785007476807
2014-01-08,62.01153590732668,A,56.02000045776367,54.327999877929685,53.76600036621094,53.234000015258786,52.11220001220703,49.54219997406006,46.62700008392334
2014-01-09,62.48996836316909,A,56.43999862670898,55.039999389648436,54.08500022888184,53.43799991607666,52.25680000305176,49.627899971008304,46.69990007400513
2014-01-10,62.96364655574995,A,56.86000061035156,55.71999969482422,54.43800010681152,53.65399990081787,52.40180000305176,49.71949996948242,46.77730007171631
2014-01-13,63.6681523809582,A,57.9900016784668,56.72200012207031,54.90100021362305,53.913500022888186,52.56520004272461,49.82189998626709,46.85940008163452
2014-01-14,63.86421150400812,A,58.56999969482422,57.17600021362305,55.454000091552736,54.23350009918213,52.71740005493164,49.94019996643066,46.94285007476807
2014-01-15,64.09349121034859,A,58.77999877929688,57.72799987792969,56.02799987792969,54.53350009918213,52.89020004272461,50.05999996185303,47.02290006637573
2014-01-16,64.34977432569447,A,59.18999862670898,58.27799987792969,56.658999633789065,54.87849998474121,53.0873999786377,50.183999938964845,47.100750064849855
2014-01-17,64.45840807955577,A,58.70000076293945,58.645999908447266,57.182999801635745,55.17600002288818,53.26400001525879,50.31049995422363,47.17645006179809
2014-01-20,64.37842962708875,A,58.70000076293945,58.7879997253418,57.75499992370605,55.463500022888184,53.43840003967285,50.43699996948242,47.26070007324219
2014-01-21,64.15846986744623,A,58.70000076293945,58.81399993896484,57.99500007629395,55.739000129699704,53.592800064086916,50.56529998779297,47.34160007476807
2014-01-22,63.845793533188576,A,58.27999877929688,58.71399993896485,58.22099990844727,55.9935001373291,53.73780006408691,50.684499969482424,47.42225006103516
2014-01-23,63.3799572290451,A,57.970001220703125,58.470000457763675,58.37400016784668,56.229500198364256,53.864200057983396,50.80069999694824,47.50375007629395
2014-01-24,62.89353651566585,A,56.9900016784668,58.12800064086914,58.387000274658206,56.41250019073486,53.96940010070801,50.90700000762939,47.57765008926392
2014-01-27,62.387609855343925,A,57.02000045776367,57.79200057983398,58.29000015258789,56.59550018310547,54.08780014038086,51.001399993896484,47.65125009536743
2014-01-28,62.01002119762047,A,56.83000183105469,57.41800079345703,58.11600036621094,56.785000228881835,54.19960014343262,51.09150001525879,47.722650108337405
2014-01-29,61.63710383567511,P,56.41999816894531,57.04600067138672,57.880000305175784,56.954000091552736,54.29780014038086,51.174199981689455,47.79245010375976
2014-01-30,61.51714692234003,P,57.560001373291016,56.9640007019043,57.717000579833986,57.18800010681152,54.41780014038086,51.275799980163576,47.866250114440916
2014-01-31,61.43087251234963,P,56.52999877929688,56.87200012207031,57.500000381469725,57.34150009155273,54.50620010375977,51.36849998474121,47.936650104522705
2014-02-03,61.17228646631778,P,54.9900016784668,56.466000366210935,57.12900047302246,57.442000198364255,54.55700012207031,51.44470001220703,47.99820011138916
2014-02-04,60.92919538052619,P,55.369998931884766,56.17399978637695,56.79600028991699,57.39550018310547,54.61880012512207,51.524700012207035,48.05760009765625
2014-02-05,61.01960128791958,P,56.970001220703125,56.284000396728516,56.66500053405762,57.44300022125244,54.71740013122559,51.623600006103516,48.12725009918213
2014-02-06,61.02854955501567,P,57.810001373291016,56.33400039672851,56.649000549316405,57.51150035858154,54.83280014038086,51.73530002593994,48.207250099182126
2014-02-07,61.255289292317066,P,58.11000061035156,56.650000762939456,56.76100044250488,57.57400035858154,54.95160018920898,51.855500030517575,48.28575010299683
2014-02-10,61.79074303870758,A,58.4900016784668,57.35000076293945,56.9080005645752,57.59900035858154,55.080000228881836,51.98580005645752,48.366300106048584
2014-02-11,62.26085474058794,A,57.9900016784668,57.87400131225586,57.024000549316405,57.57000045776367,55.20680023193359,52.10570007324219,48.4421501159668
2014-02-12,62.331972920490045,A,57.58000183105469,57.996001434326175,57.140000915527345,57.51000061035156,55.323000259399414,52.21970008850098,48.513100128173825
2014-02-13,62.33005666141701,A,58.380001068115234,58.11000137329101,57.22200088500976,57.46950073242188,55.4494002532959,52.338100090026856,48.58640012741089
2014-02-14,62.228275312432515,A,58.27999877929688,58.14400100708008,57.39700088500977,57.448500633239746,55.55660026550293,52.458400077819825,48.656250114440915
2014-02-17,62.07370025249191,A,58.27999877929688,58.1020004272461,57.72600059509277,57.427500534057614,55.664600219726566,52.57860008239746,48.72485010147095
2014-02-18,61.99555429615369,A,58.130001068115234,58.130000305175784,58.00200080871582,57.399000549316405,55.77480026245117,52.69370010375977,48.788750114440916
2014-02-19,62.006246932356454,A,58.09000015258789,58.23199996948242,58.114000701904295,57.38950061798096,55.89360023498535,52.8063000869751,48.851650123596194
2014-02-20,62.07556887975474,A,58.9900016784668,58.354000091552734,58.232000732421874,57.44050064086914,56.02620025634766,52.92920009613037,48.92095012664795
2014-02-21,62.17017531569552,A,59.150001525878906,58.52800064086914,58.33600082397461,57.54850063323975,56.158400268554686,53.049400100708006,48.99165014266968
2014-02-24,62.16117091683165,A,58.77999877929688,58.62800064086914,58.365000534057614,57.63650054931641,56.27800025939941,53.173700103759764,49.0610001373291
2014-02-25,62.2268126920508,A,58.77999877929688,58.758000183105466,58.444000244140625,57.73400039672852,56.41020027160644,53.31040008544922,49.12995012283325
2014-02-26,62.45554246084409,A,59.4900016784668,59.03800048828125,58.635000228881836,57.88750057220459,56.54440032958984,53.45860012054443,49.207300128936765
2014-02-27,62.65234854065071,A,60.5,59.34000015258789,58.84700012207031,58.03450050354004,56.7086003112793,53.60700012207031,49.28805013656616
2014-02-28,62.67561989038311,A,59.40999984741211,59.39199981689453,58.96000022888184,58.1785005569458,56.84180030822754,53.743300132751465,49.363150138854984
2014-03-03,62.63795377357212,A,58.20000076293945,59.27600021362305,58.95200042724609,58.33900051116943,56.94680030822754,53.862400131225584,49.43220014572144
2014-03-04,62.65389541049254,A,59.0099983215332,59.322000122070314,59.04000015258789,58.52100048065186,57.063200302124024,53.993300132751465,49.503950138092044
2014-03-05,62.36432047608756,A,58.310001373291016,59.08600006103516,59.0620002746582,58.58800048828125,57.165600357055666,54.1085001373291,49.57500015258789
2014-03-06,61.90462194794045,A,58.15999984741211,58.61800003051758,58.979000091552734,58.60550041198731,57.263800354003905,54.21280014038086,49.64570014953613
2014-03-07,61.53293357203098,P,57.54999923706055,58.24599990844727,58.8189998626709,58.577500343322754,57.34820030212402,54.31230014801025,49.71690013885498
2014-03-10,61.39837341771326,P,57.95000076293945,58.19599990844726,58.736000061035156,58.550500297546385,57.44000030517578,54.41370014190674,49.79485013961792
2014-03-11,61.158563229205946,P,58.04999923706055,58.00400009155273,58.66300010681152,58.553500175476074,57.540200271606444,54.5160001373291,49.87510013580322
2014-03-12,61.42777039647071,P,60.33000183105469,58.40800018310547,58.74700012207031,58.69100017547608,57.68600028991699,54.635800170898435,49.9695001411438
2014-03-13,61.645564174045944,A,59.47999954223633,58.672000122070315,58.64500007629395,58.746000099182126,57.81800025939941,54.73840015411377,50.05910013198852
2014-03-14,62.14292902571066,A,60.72999954223633,59.30800018310547,58.77700004577637,58.8685001373291,57.963400268554686,54.85140014648437,50.15220012664795
2014-03-17,62.61563887495447,A,61.09000015258789,59.93600006103516,59.06599998474121,59.00900020599365,58.12560028076172,54.97110015869141,50.245200119018556
2014-03-18,63.108260868853,A,61.84999847412109,60.69599990844726,59.35,59.195000076293944,58.23660026550293,55.099700126647946,50.34310010910034
2014-03-19,63.233506708606264,A,62.0,61.029999542236325,59.7189998626709,59.39050006866455,58.356200256347655,55.234200134277344,50.4424001121521
2014-03-20,63.54022635728754,A,62.0099983215332,61.5359992980957,60.10399971008301,59.54149990081787,58.46760025024414,55.36220012664795,50.53985010147095
2014-03-21,63.40555007296897,A,60.83000183105469,61.555999755859375,60.43199996948242,59.62549991607666,58.5470002746582,55.47440013885498,50.630500106811525
