Date,GRADE,GPS,SNPS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-02-11,46.92047193234075,B,7.625,7.675,8.028125,8.4390625,8.55125,8.1021875,7.3871875
1993-02-12,46.99453202183361,P,8.1875,7.76875,8.003125,8.3828125,8.556875,8.1171875,7.38640625
1993-02-15,47.086554709940195,P,8.1875,7.86875,7.984375,8.3234375,8.556875,8.1303125,7.38796875
1993-02-16,47.137465275206466,B,7.5625,7.875,7.86875,8.24375,8.541875,8.1365625,7.388125
1993-02-17,47.10469938477067,B,7.25,7.7625,7.75,8.18125,8.519375,8.1353125,7.388125
1993-02-18,47.15773164361531,P,7.75,7.7875,7.73125,8.1421875,8.509375,8.1396875,7.39125
1993-02-19,47.15988031752179,P,8.0625,7.7625,7.765625,8.1265625,8.504375,8.1509375,7.3946875
1993-02-22,47.15376496879707,P,8.0,7.725,7.796875,8.0828125,8.498125,8.1646875,7.39875
1993-02-23,47.22595532936638,P,7.875,7.7875,7.83125,8.0265625,8.489375,8.1765625,7.4021875
1993-02-24,47.36117325325347,A,8.0,7.9375,7.85,7.9890625,8.483125,8.190625,7.40796875
1993-02-25,47.39827656029008,A,8.0,7.9875,7.8875,7.9578125,8.471875,8.2021875,7.41421875
1993-02-26,47.38381409941531,A,8.0,7.975,7.86875,7.9359375,8.459375,8.2115625,7.41984375
1993-03-01,47.39237647721029,A,8.125,8.0,7.8625,7.9234375,8.449375,8.2203125,7.42609375
1993-03-02,47.38504477621293,A,7.9375,8.0125,7.9,7.884375,8.435,8.2271875,7.43234375
1993-03-03,47.353646182369936,A,7.9375,8.0,7.96875,7.859375,8.41875,8.234375,7.43828125
1993-03-04,47.31867655746729,P,7.8125,7.9625,7.975,7.853125,8.4,8.2384375,7.44296875
1993-03-05,47.28649535774078,P,7.6875,7.9,7.9375,7.8515625,8.37875,8.2371875,7.4471875
1993-03-08,47.22951699634384,P,7.6875,7.8125,7.90625,7.8515625,8.36,8.2328125,7.4496875
1993-03-09,47.15900940811628,P,7.40625,7.70625,7.859375,7.8453125,8.339375,8.22875,7.44765625
1993-03-10,47.044849847362634,B,7.25,7.56875,7.784375,7.8171875,8.31375,8.22,7.4421875
1993-03-11,46.94619289708333,B,7.0625,7.41875,7.690625,7.7890625,8.281875,8.211875,7.43828125
1993-03-12,46.89134448875009,B,7.21875,7.325,7.6125,7.740625,8.253125,8.2078125,7.43640625
1993-03-15,46.837645919085446,B,7.125,7.2125,7.5125,7.6875,8.224375,8.2040625,7.43484375
1993-03-16,46.83858706331324,B,7.125,7.15625,7.43125,7.665625,8.194375,8.2028125,7.43578125
1993-03-17,46.87146136640572,B,7.0625,7.11875,7.34375,7.65625,8.151875,8.2003125,7.43609375
1993-03-18,46.88261482007814,B,6.875,7.08125,7.25,7.6125,8.104375,8.19375,7.43421875
1993-03-19,46.84020305917585,B,6.65625,6.96875,7.146875,7.5421875,8.0525,8.1846875,7.4315625
1993-03-22,46.792825909722524,B,6.5,6.84375,7.028125,7.4671875,8.0,8.1740625,7.4275
1993-03-23,46.75312445316996,B,6.75,6.76875,6.9625,7.4109375,7.9575,8.1640625,7.4259375
1993-03-24,46.784071801744496,B,7.21875,6.8,6.959375,7.371875,7.924375,8.158125,7.42953125
1993-03-25,46.88908949727639,B,7.5625,6.9375,7.009375,7.35,7.893125,8.15375,7.43546875
