Date,GRADE,GPS,INCY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-12-06,48.34221710241531,A,3.71875,3.2859375953674315,2.9023437976837156,2.698046898841858,2.218750057220459,2.188984408378601,2.3087109541893005
1994-12-07,48.45963211642606,A,3.65625,3.48125,3.024218797683716,2.755859398841858,2.2567187976837157,2.202734408378601,2.3143359541893007
1994-12-08,48.48366503044817,A,3.3125,3.5625,3.1117187976837157,2.7964843988418577,2.2878125381469725,2.212734408378601,2.3180859541893004
1994-12-09,48.47370700851508,A,3.53125,3.6125,3.217968797683716,2.848046898841858,2.3221875381469728,2.224921908378601,2.3230859541893008
1994-12-12,48.36672591408337,A,3.5,3.54375,3.305468797683716,2.901171898841858,2.3565625381469726,2.235859408378601,2.3276172041893006
1994-12-13,48.25909687392704,A,3.34375,3.46875,3.3773437976837157,2.943359398841858,2.3879687786102295,2.243984408378601,2.3316797041893005
1994-12-14,48.15059167378857,A,3.25,3.3875,3.434375,2.9839843988418577,2.4184375190734864,2.251484408378601,2.3354297041893006
1994-12-15,48.116964461260885,A,3.3125,3.3875,3.475,3.024609398841858,2.448437519073486,2.259609408378601,2.3398047041893006
1994-12-16,48.09401229342061,A,3.625,3.40625,3.509375,3.079296898841858,2.4846875190734865,2.271171908378601,2.3458984541893004
1994-12-19,48.09898971718547,A,3.6875,3.44375,3.49375,3.137109398841858,2.522187519073486,2.283359408378601,2.3523047041893004
1994-12-20,48.137752495182916,A,3.710937976837158,3.5171875953674316,3.492968797683716,3.1976562976837157,2.5595312786102293,2.295781288146973,2.359140644073486
1994-12-21,48.21317907560522,A,3.875,3.6421875953674316,3.514843797683716,3.2695312976837156,2.5989062786102295,2.3095312881469727,2.3663281440734862
1994-12-22,48.284818712616605,A,3.90625,3.7609375953674316,3.5742187976837156,3.342968797683716,2.6370312786102295,2.3239062881469725,2.3739843940734864
1994-12-23,48.30869163992288,A,3.875,3.810937595367432,3.608593797683716,3.413281297683716,2.6751562786102294,2.340156288146973,2.380546894073486
1994-12-26,48.33371986910769,A,3.875,3.8484375953674315,3.646093797683716,3.475781297683716,2.7139062786102297,2.3564062881469727,2.386953144073486
1994-12-27,48.348731281523555,A,3.875,3.88125,3.6992187976837156,3.538281297683716,2.7526562786102295,2.3726562881469726,2.3938281440734865
1994-12-28,48.32702041490635,A,3.84375,3.875,3.758593797683716,3.596484398841858,2.7914062786102294,2.3885937881469728,2.4007031440734865
1994-12-29,48.24635242472118,A,3.5625,3.80625,3.7835937976837157,3.629296898841858,2.8251562786102293,2.4020312881469725,2.406015644073486
