Date,GRADE,GPS,TDY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-12-12,54.70447195431222,P,23.3125,21.9125,21.075,22.728125,23.6675,23.0425,19.428125
2000-12-13,55.059413771412345,P,23.5625,22.55,21.35,22.625,23.64,23.0625,19.501875
2000-12-14,55.428382376790296,A,23.875,23.175,21.8125,22.509375,23.63,23.1025,19.57625
2000-12-15,55.5802660920304,A,22.9375,23.3875,22.13125,22.359375,23.62,23.131875,19.644375
2000-12-18,55.477433674468024,A,22.875,23.3125,22.46875,22.253125,23.60875,23.163125,19.7078125
2000-12-19,55.165113710409,A,20.75,22.8,22.35625,22.05625,23.56,23.1825,19.7575
2000-12-20,54.6389899959502,P,18.25,21.7375,22.14375,21.75625,23.5,23.1725,19.795625
2000-12-21,54.13687674433311,P,19.25,20.8125,21.99375,21.50625,23.46125,23.1825,19.8371875
2000-12-22,53.82643385912886,P,19.9375,20.2125,21.8,21.284375,23.3875,23.229375,19.875
2000-12-25,53.52431218342704,P,19.9375,19.625,21.46875,21.1625,23.32125,23.26125,19.909375
2000-12-26,53.46818902169531,P,19.1875,19.3125,21.05625,21.065625,23.26,23.286875,19.9371875
2000-12-27,53.59582089109902,P,18.8125,19.425,20.58125,20.965625,23.1825,23.2825,19.9634375
2000-12-28,53.817050769190125,P,21.125,19.8,20.30625,21.059375,23.105,23.30125,20.0009375
2000-12-29,54.14801790776347,P,23.625,20.5375,20.375,21.253125,23.0275,23.3425,20.040625
2001-01-01,54.48554447126238,A,23.625,21.275,20.45,21.459375,22.97375,23.383125,20.066875
2001-01-02,54.375908691602575,A,19.75,21.3875,20.35,21.353125,22.86375,23.388125,20.035625
2001-01-03,54.570029864715906,A,20.75,21.775,20.6,21.371875,22.80875,23.398125,20.045625
2001-01-04,54.48191874832432,A,20.75,21.7,20.75,21.371875,22.76375,23.40125,20.054375
2001-01-05,53.90323418969323,A,18.4375,20.6625,20.6,21.2,22.6725,23.384375,20.0540625
2001-01-08,53.216311506113186,B,17.0,19.3375,20.30625,20.8875,22.55,23.355,20.06
2001-01-09,53.06504767455109,B,16.875,18.7625,20.075,20.565625,22.38625,23.32625,20.07
2001-01-10,52.69863792177099,B,18.0,18.2125,19.99375,20.2875,22.23125,23.31125,20.08
2001-01-11,52.38069146317461,B,18.125,17.6875,19.69375,20.0,22.0775,23.290625,20.0915625
2001-01-12,52.39494838868095,B,18.0625,17.6125,19.1375,19.75625,21.90875,23.275,20.1021875
2001-01-15,52.58976299929312,B,18.0625,17.825,18.58125,19.515625,21.75,23.265625,20.113125
2001-01-16,52.777307087500844,B,18.125,18.075,18.41875,19.384375,21.57375,23.246875,20.125625
2001-01-17,53.077403848492246,B,19.875,18.45,18.33125,19.465625,21.46625,23.245,20.1471875
2001-01-18,53.27277332558552,B,18.5625,18.5375,18.1125,19.43125,21.3475,23.229375,20.1590625
2001-01-19,53.50353081333711,B,18.75,18.675,18.14375,19.371875,21.2475,23.1925,20.1834375
2001-01-22,53.705344756639114,B,18.875,18.8375,18.33125,19.31875,21.14625,23.156875,20.2046875
2001-01-23,53.814753709055594,C,19.0,19.0125,18.54375,19.309375,21.02625,23.1275,20.216875
2001-01-24,53.77532324968454,C,20.0,19.0375,18.74375,19.36875,20.91375,23.114375,20.23125
2001-01-25,53.76752665970915,C,19.1875,19.1625,18.85,19.271875,20.77375,23.075,20.241875
2001-01-26,53.567874484072625,C,18.625,19.1375,18.90625,19.021875,20.6275,23.001875,20.2496875
2001-01-29,53.289291025512135,C,18.399999618530277,19.042499923706053,18.939999961853026,18.760624980926515,20.495499992370604,22.9083749961853,20.252624998092653
2001-01-30,53.075372377264074,C,19.0,19.042499923706053,19.027499961853028,18.723124980926514,20.381749992370604,22.797124996185303,20.25168749809265
2001-01-31,52.78165299918434,B,19.0,18.842499923706054,18.939999961853026,18.635624980926515,20.276749992370604,22.702124996185304,20.248562498092653
2001-02-01,52.66084488982509,B,18.979999542236328,18.80099983215332,18.98174991607666,18.54712495803833,20.171349983215332,22.603174991607666,20.25283749580383
2001-02-02,52.72722674856221,B,18.989999771118164,18.873999786376952,19.005749893188476,18.57474994659424,20.063649978637695,22.504324989318846,20.260287494659423
2001-02-05,52.90403664150537,B,18.709999084472656,18.93599967956543,18.989249801635744,18.66024990081787,19.990349960327148,22.430799980163574,20.263524990081788
2001-02-06,53.12151498881001,C,19.450000762939453,19.02599983215332,19.03424987792969,18.788999938964842,19.95684997558594,22.38092498779297,20.270149993896485
2001-02-07,53.289347160619364,C,19.0,19.02599983215332,18.934249877929688,18.838999938964843,19.920599975585937,22.312174987792968,20.275149993896484
2001-02-08,53.40585774114114,C,18.950000762939453,19.020000076293947,18.91049995422363,18.880249977111816,19.914599990844728,22.229799995422365,20.27927499771118
2001-02-09,53.40858217341333,B,18.09000015258789,18.84000015258789,18.856999969482423,18.88162498474121,19.881399993896483,22.155074996948244,20.276287498474122
