Date,GRADE,GPS,PCG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-02-14,81.21574421412367,A,32.00164031982422,31.85853042602539,31.632596588134767,31.121430587768554,31.03301513671875,29.922963581085206,28.133425579071044
2007-02-15,81.09548454794832,A,32.08777618408203,31.892985153198243,31.728666687011717,31.196300411224364,31.063513565063477,29.96683462142944,28.166501207351686
2007-02-16,81.22590799333992,A,31.95526695251465,31.963217163085936,31.80751323699951,31.268850898742677,31.098862724304198,30.01234142303467,28.199076137542725
2007-02-19,81.31413104365917,A,31.95526695251465,32.014895629882815,31.843291664123534,31.349352073669433,31.12868492126465,30.055545330047607,28.231812887191772
2007-02-20,81.01657754311735,A,31.80287170410156,31.960564422607423,31.868469047546387,31.40997667312622,31.147300453186034,30.096633129119873,28.26537364959717
2007-02-21,80.77265495922592,A,31.743236541748047,31.90888366699219,31.88370704650879,31.450723361968993,31.16353885650635,30.135018978118897,28.299995613098144
2007-02-22,80.48292876327803,A,31.703493118286133,31.83202705383301,31.862506103515624,31.51698007583618,31.176218910217287,30.175507774353026,28.333221321105956
2007-02-23,80.17595202405617,A,31.650480270385746,31.771069717407226,31.867143440246583,31.574623012542723,31.186785926818846,30.216650829315185,28.365308046340942
2007-02-26,79.97002836403821,A,31.78298568725586,31.736613464355468,31.87575454711914,31.630939865112303,31.19921329498291,30.258855628967286,28.397151041030884
2007-02-27,79.36576813385341,P,30.756027221679688,31.527244567871094,31.743904495239256,31.63458366394043,31.182942848205567,30.290922584533693,28.426124897003174
2007-02-28,78.77851708138918,P,30.76265335083008,31.3311279296875,31.620005798339843,31.626301193237303,31.1711474609375,30.319699974060057,28.45270438194275
2007-03-01,78.2610740589483,P,30.908418655395508,31.172113037109376,31.502070045471193,31.615368366241455,31.16463581085205,30.350987854003908,28.478523788452147
2007-03-02,77.4234445027632,P,30.252487182617188,30.892514419555663,31.331792068481445,31.56965265274048,31.14763771057129,30.377229690551758,28.500319137573243
2007-03-05,76.34368643208511,P,29.98083877563477,30.532085037231447,31.134349250793456,31.488820457458495,31.12520664215088,30.398715381622313,28.520756244659424
2007-03-06,76.14012972946891,P,30.28560447692871,30.43800048828125,30.98262252807617,31.42554578781128,31.103607025146484,30.42259069442749,28.545047607421875
2007-03-07,76.18693114678233,P,30.7957820892334,30.444626235961913,30.88787708282471,31.38579206466675,31.086645584106446,30.447619972229003,28.57059518814087
2007-03-08,76.08883861096041,P,30.71628189086914,30.40619888305664,30.789155960083008,31.325831031799318,31.069949264526368,30.472183227539062,28.59441819190979
2007-03-09,76.35029617659707,P,30.577136993408203,30.471128845214842,30.681821632385255,31.274482536315922,31.054312858581543,30.49423650741577,28.616703939437866
2007-03-12,76.92073228199632,P,30.73613929748535,30.62218894958496,30.577136993408203,31.226445770263673,31.04185649871826,30.516629695892334,28.64043203353882
2007-03-13,76.97085680015272,P,30.272357940673828,30.619539642333983,30.52877006530762,31.136337280273438,31.02012451171875,30.535964183807373,28.661841220855713
2007-03-14,76.77770776205045,P,30.338621139526367,30.52810745239258,30.486366844177248,31.053186321258544,31.0005126953125,30.55365842819214,28.68374355316162
2007-03-15,76.92218830720371,P,30.809032440185547,30.54665756225586,30.47642822265625,30.98924913406372,30.998922691345214,30.576846332550048,28.706055908203126
2007-03-16,77.011687971895,P,30.484378814697266,30.52810592651367,30.49961738586426,30.91570472717285,31.00581352233887,30.597116661071777,28.727262868881226
2007-03-19,77.1030406168519,P,30.676517486572266,30.516181564331056,30.569185256958008,30.85176725387573,31.01071662902832,30.619176807403566,28.75017499923706
2007-03-20,77.82441319936486,A,31.35232734680176,30.732175445556642,30.675857543945312,30.82924003601074,31.026220436096192,30.648850421905518,28.77950867652893
2007-03-21,78.77393640825186,A,31.869129180908203,31.038277053833006,30.783192253112794,30.83553466796875,31.04384433746338,30.681520729064943,28.813077039718628
2007-03-22,79.49963591897851,A,32.021522521972656,31.28077507019043,30.913716316223145,30.851436138153076,31.06279365539551,30.717162494659423,28.84608036994934
2007-03-23,80.53302635432235,A,32.35942077636719,31.655783462524415,31.091944694519043,30.886883163452147,31.09804172515869,30.75914415359497,28.881355752944945
2007-03-26,81.51854047680591,A,32.60456848144531,32.04139366149902,31.27878761291504,30.92796230316162,31.13819274902344,30.800682220458985,28.91737135887146
2007-03-27,82.03469472180849,A,32.41242599487305,32.253413391113284,31.49279441833496,31.01078224182129,31.17463367462158,30.840298862457274,28.952361555099486
2007-03-28,82.27922702295542,A,32.43912887573242,32.36741333007812,31.702845191955568,31.094606018066408,31.210415802001954,30.87682685852051,28.988067827224732
2007-03-29,82.4112151902534,A,32.41910171508789,32.446929168701175,31.863852119445802,31.170140171051024,31.246990242004394,30.911706981658934,29.02399765968323
2007-03-30,82.1797083754073,A,32.21885681152344,32.41881637573242,32.037299919128415,31.26845865249634,31.281282234191895,30.941689682006835,29.058570222854613
2007-04-02,82.29477099566621,A,32.99979782104492,32.49786224365234,32.26962795257568,31.419406604766845,31.334373321533203,30.98066610336304,29.09669143676758
2007-04-03,82.43842739101122,A,33.17333984375,32.650045013427736,32.451729202270506,31.56379337310791,31.386032524108888,31.018943481445312,29.13606876373291
2007-04-04,82.39243372692216,A,32.93973159790039,32.75016555786133,32.55878944396973,31.67099084854126,31.426261100769043,31.051792240142824,29.174504671096802
2007-04-05,82.43075483101451,A,32.93973159790039,32.85429153442383,32.6506103515625,31.78216333389282,31.477488555908202,31.078982467651368,29.21251615524292
2007-04-06,82.53480465415213,A,32.93973159790039,32.99846649169922,32.70864143371582,31.90029306411743,31.526330757141114,31.10946258544922,29.24899348258972
2007-04-09,82.09311625909886,A,32.95976257324219,32.99045944213867,32.74416084289551,32.011474227905275,31.572393035888673,31.14185375213623,29.28406936645508
2007-04-10,81.93268307144028,A,33.406959533691406,33.037183380126955,32.843614196777345,32.16820430755615,31.626869201660156,31.17799306869507,29.32138123512268
