Date,GRADE,GPS,MTD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-02-11,46.237879976782125,P,25.3125,25.2,25.63125,25.6625,26.27125,24.03125,22.0365625
1999-02-12,46.23352560882605,P,25.0,25.1625,25.48125,25.63125,26.22125,24.074375,22.0640625
1999-02-15,46.21625007222582,P,25.0,25.1,25.30625,25.6,26.1825,24.11875,22.0915625
1999-02-16,46.21262525372203,P,25.0625,25.1125,25.2125,25.5125,26.15125,24.158125,22.1175
1999-02-17,46.209417606145074,P,25.0625,25.0875,25.125,25.453125,26.12,24.19375,22.1446875
1999-02-18,46.22636460252868,P,25.5,25.125,25.1625,25.490625,26.1,24.245,22.1746875
1999-02-19,46.27788227533597,P,25.8125,25.2875,25.225,25.5125,26.10625,24.30625,22.20625
1999-02-22,46.354175338289515,A,26.25,25.5375,25.31875,25.596875,26.13,24.3825,22.241875
1999-02-23,46.41937855848028,A,26.0,25.725,25.41875,25.609375,26.1625,24.4575,22.27625
1999-02-24,46.4497826365292,A,25.0625,25.725,25.40625,25.571875,26.1675,24.525625,22.305625
1999-02-25,46.42366528339492,A,24.875,25.6,25.3625,25.496875,26.12625,24.599375,22.32875
1999-02-26,46.40363493559025,A,25.5625,25.55,25.41875,25.45,26.10375,24.6775,22.3565625
