Date,GRADE,GPS,VRTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-10-16,45.54254468039102,B,4.625,4.775,4.7875,4.95625,4.95125,4.469375,5.280625
1992-10-19,45.602083267947116,B,5.0,4.825,4.80625,4.9375,4.96625,4.468125,5.264375
1992-10-20,45.651508117896604,B,5.0,4.85,4.81875,4.9375,4.98125,4.470625,5.249375
1992-10-21,45.68809432328055,B,5.0,4.875,4.83125,4.9375,4.99,4.47125,5.23375
1992-10-22,45.667672422544136,B,4.625,4.85,4.8125,4.91875,4.9825,4.4675,5.218125
1992-10-23,45.72333424063631,C,5.0,4.925,4.85,4.9125,4.98,4.4675,5.204375
1992-10-26,45.706881487581065,C,4.875,4.9,4.8625,4.896875,4.97625,4.4675,5.1925
1992-10-27,45.67926027831488,C,4.875,4.875,4.8625,4.878125,4.97625,4.47125,5.18
1992-10-28,45.62673325652653,B,4.625,4.8,4.8375,4.84375,4.97125,4.4725,5.16625
1992-10-29,45.65482679878948,B,4.625,4.8,4.825,4.825,4.96625,4.47625,5.1525
1992-10-30,45.61467844821886,B,4.5,4.7,4.8125,4.8,4.96625,4.47875,5.14
1992-11-02,45.63488318160279,B,4.75,4.675,4.7875,4.796875,4.97125,4.48875,5.126875
1992-11-03,45.65410417131631,B,4.75,4.65,4.7625,4.790625,4.97375,4.500625,5.115
1992-11-04,45.761254038238775,P,5.0,4.725,4.7625,4.796875,4.98125,4.515,5.106875
1992-11-05,45.85948317640648,P,5.0,4.8,4.8,4.80625,4.99,4.53125,5.099375
1992-11-06,45.94741156262088,A,4.875,4.875,4.7875,4.81875,4.9975,4.54625,5.09
