Date,GRADE,GPS,BAC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-03-03,45.39181379520997,P,24.64173698425293,25.8192138671875,27.804760551452638,29.32011709213257,30.089916801452638,29.622897186279296,27.33972457885742
2020-03-04,44.06438401887399,B,25.21005249023437,25.421393585205077,27.242662048339845,29.03951177597046,29.968617210388185,29.60854568481445,27.344691772460937
2020-03-05,43.08977919475665,B,23.93212890625,25.03438606262207,26.54122848510742,28.69678649902344,29.81643127441406,29.580620059967043,27.345843744277953
2020-03-06,41.911387564644464,B,22.97591209411621,24.568022537231446,25.787684059143068,28.308914184570312,29.648140296936035,29.542337379455567,27.34465808868408
2020-03-09,37.05948941040412,B,19.5978946685791,23.271545028686525,24.841080093383788,27.748589038848877,29.415840759277344,29.46435733795166,27.326233310699465
2020-03-10,34.899259203778335,B,21.09923553466797,22.56304473876953,24.191129302978517,27.259779071807863,29.21232482910156,29.39980094909668,27.309904651641844
2020-03-11,31.64666278972567,B,20.25919532775879,21.572873306274413,23.497133445739745,26.722307205200195,28.992008094787597,29.324901218414308,27.2894194316864
2020-03-12,28.056284118365397,B,18.328895568847656,20.452226638793945,22.743306350708007,26.08876438140869,28.725626373291014,29.23122838973999,27.25875629425049
2020-03-13,28.1931286788063,B,21.590744018554688,20.17519302368164,22.371607780456543,25.620978355407715,28.537623672485353,29.166994647979735,27.245937795639037
2020-03-16,28.759577997886932,B,18.26634407043457,19.908882904052735,21.590213966369628,24.986972332000732,28.284021263122558,29.06845712661743,27.214128379821776
2020-03-17,28.835333854920595,B,19.64256858825684,19.61754951477051,21.090297126770018,24.447528839111328,28.062027893066407,28.981650562286376,27.18845429420471
2020-03-18,28.796598672659666,B,18.57912254333496,19.281534957885743,20.427204132080078,23.83493309020996,27.812549743652344,28.888183765411377,27.15873517990112
2020-03-19,30.88641952264771,B,18.945520401000977,19.404859924316405,19.928543281555175,23.234885883331298,27.569333877563476,28.80147205352783,27.130891933441163
2020-03-20,28.243812881949566,B,17.57822608947754,18.602356338500975,19.38877468109131,22.588229370117187,27.3039225769043,28.696406574249266,27.095773525238037
2020-03-23,28.227139340854436,B,16.157316207885742,18.18055076599121,19.044716835021973,21.94289846420288,27.00440975189209,28.57183298110962,27.05403310775757
2020-03-24,28.77411443432142,B,18.79360008239746,18.010757064819337,18.814153289794923,21.50264129638672,26.753005065917968,28.469912929534914,27.02244715690613
2020-03-25,30.812463264609715,B,18.856151580810547,18.066162872314454,18.6738489151001,21.085491180419922,26.51439540863037,28.36888334274292,26.992490043640135
