Date,GRADE,GPS,WAT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-12-04,48.338934941966365,B,7.25,6.8875,6.94375,7.1640625,7.64875,7.5540625,7.19171875
1996-12-05,48.458711198501284,B,7.1875,6.975,6.9375,7.1578125,7.6425,7.5528125,7.20234375
1996-12-06,48.554212435395804,B,7.1875,7.05625,6.93125,7.1453125,7.62875,7.553125,7.2125
1996-12-09,48.65374192978888,P,7.25,7.14375,6.95625,7.1421875,7.61,7.5571875,7.22375
1996-12-10,48.783289321533516,A,7.5,7.275,7.03125,7.15625,7.6025,7.5665625,7.2359375
1996-12-11,48.81529509627159,A,7.5,7.325,7.10625,7.1625,7.588125,7.574375,7.2478125
1996-12-12,48.848604673772456,A,7.5625,7.4,7.1875,7.165625,7.573125,7.578125,7.259375
1996-12-13,48.895975713776295,A,7.53125,7.46875,7.2625,7.171875,7.560625,7.5834375,7.27109375
1996-12-16,48.895302699960475,A,7.4375,7.50625,7.325,7.16875,7.54375,7.5878125,7.28046875
1996-12-17,48.82784560674762,A,7.46875,7.5,7.3875,7.171875,7.530625,7.5921875,7.2878125
1996-12-18,48.77824615303748,A,7.46875,7.49375,7.409375,7.1765625,7.515,7.596875,7.29515625
1996-12-19,48.762412412241304,A,7.6875,7.51875,7.459375,7.1984375,7.504375,7.60125,7.30359375
1996-12-20,48.73441436234108,A,7.625,7.5375,7.503125,7.2171875,7.4925,7.60375,7.31203125
1996-12-23,48.74367363917656,A,7.59375,7.56875,7.5375,7.246875,7.48375,7.6059375,7.32109375
1996-12-24,48.753898510899354,A,7.625,7.6,7.55,7.290625,7.47125,7.6046875,7.33109375
1996-12-25,48.78106281082139,A,7.625,7.63125,7.5625,7.334375,7.4625,7.6034375,7.33984375
1996-12-26,48.76271127163786,A,7.65625,7.625,7.571875,7.3796875,7.45125,7.6025,7.3484375
1996-12-27,48.75778700524262,C,7.625,7.625,7.58125,7.421875,7.44125,7.601875,7.358125
1996-12-30,48.73709912998347,C,7.59375,7.625,7.596875,7.4609375,7.429375,7.5990625,7.366875
1996-12-31,48.724344898021705,C,7.59375,7.61875,7.609375,7.4984375,7.42,7.5975,7.37546875
1997-01-01,48.701633594440096,C,7.59375,7.6125,7.621875,7.515625,7.4125,7.5946875,7.38453125
1997-01-02,48.67367114297732,C,7.53125,7.5875,7.60625,7.5328125,7.4025,7.591875,7.39359375
1997-01-03,48.64729497356836,C,7.53125,7.56875,7.596875,7.55,7.395625,7.5909375,7.4009375
